games_x,turnovers,per,usagePercent,offensiveWs,defensiveWs,winShares,offensiveBox,defensiveBox,vorp,MVP,ranking,win_percentage,PPG_Score,APG_Score,RPG_Score,SPG_Score,BPG_Score,eFG%_Score
68,147,21.6,21.6,6.1,2.5,8.6,3.2,-0.4,2.7,0,15,0.5,0.71,0.43,1.09,0.5,0.18,0.7
75,269,21.0,27.5,6.6,1.7,8.3,3.7,-0.1,3.7,0,12,0.524,0.92,1.09,0.28,0.77,0.12,0.63
70,189,19.8,25.7,5.0,1.8,6.8,3.2,0.1,3.3,0,15,0.5,0.86,0.74,0.46,0.86,0.26,0.67
82,279,22.6,26.0,5.6,7.2,12.8,2.5,2.0,5.3,0,5,0.683,0.99,0.37,1.11,0.32,1.11,0.77
82,192,20.4,22.5,5.3,4.2,9.6,2.6,1.5,5.0,0,11,0.549,0.87,0.57,0.9,0.82,0.81,0.69
81,224,20.6,25.6,7.9,3.8,11.7,4.8,0.4,5.5,0,6,0.671,0.88,1.12,0.35,0.81,0.09,0.69
80,132,19.3,20.8,7.4,2.1,9.5,3.3,0.5,3.6,0,-1,0.756,0.67,0.59,0.32,0.65,0.08,0.72
80,146,18.0,19.5,6.8,3.2,10.1,2.9,1.1,4.4,0,1,0.744,0.79,0.42,0.35,0.96,0.3,0.78
82,185,25.2,33.7,10.4,5.4,15.8,5.9,1.0,7.1,0,0,0.756,1.35,0.47,0.54,0.83,0.24,0.66
81,247,27.9,31.8,12.1,4.3,16.4,6.6,0.7,7.1,1,-1,0.756,1.27,0.53,0.96,0.57,0.38,0.74
60,175,28.8,32.9,6.7,3.4,10.2,5.7,0.2,4.3,0,1,0.744,1.33,0.32,1.06,0.31,1.06,0.82
82,229,21.6,24.6,8.5,4.0,12.5,4.4,0.7,5.7,0,2,0.744,0.9,1.12,0.43,1.09,0.1,0.71
73,202,27.8,29.7,7.8,6.0,13.8,5.3,2.9,6.3,0,5,0.683,1.01,0.37,0.99,0.42,1.16,0.72
73,190,20.9,23.2,5.1,4.6,9.7,2.2,2.2,3.8,0,10,0.561,0.75,0.4,0.93,0.43,0.49,0.72
78,168,18.7,20.6,7.5,2.9,10.4,3.0,-0.1,3.4,0,2,0.744,0.74,0.59,0.66,0.37,0.11,0.73
73,176,18.8,23.9,8.4,1.8,10.2,3.9,-0.9,3.6,0,8,0.61,0.94,0.54,0.4,0.49,0.18,0.68
64,161,21.8,19.3,6.4,1.6,8.0,5.5,0.2,3.6,0,-1,0.756,0.56,1.15,0.24,0.67,0.07,0.8
76,266,19.6,23.7,5.1,3.0,8.1,2.8,0.1,3.7,0,14,0.512,0.83,1.42,0.5,0.8,0.15,0.62
64,104,17.8,19.8,5.6,1.5,7.1,3.7,-1.0,2.4,0,1,0.744,0.65,0.93,0.28,0.48,0.04,0.7
71,185,20.9,26.5,3.9,4.4,8.3,2.9,1.7,4.7,0,14,0.512,1.03,0.52,0.89,0.75,0.77,0.71
82,183,20.6,25.6,9.0,1.0,10.1,4.7,-1.1,4.3,0,13,0.512,0.89,0.51,0.4,0.7,0.1,0.81
82,248,19.5,23.9,4.6,3.4,8.0,3.6,0.9,4.3,0,15,0.5,0.65,0.82,0.3,1.08,0.05,0.78
71,184,20.8,23.0,5.8,2.8,8.6,3.9,0.3,4.1,0,6,0.61,0.69,1.19,0.3,0.99,0.18,0.77
66,182,21.7,26.8,6.1,4.5,10.6,3.5,1.6,4.5,0,-1,0.817,0.91,0.66,0.57,0.85,0.4,0.77
82,178,23.4,30.0,9.1,2.7,11.8,5.6,-0.1,5.9,0,11,0.549,1.04,0.53,0.53,0.7,0.48,0.77
81,267,21.1,25.0,8.4,0.8,9.2,3.6,-1.4,3.1,0,13,0.512,0.75,1.21,0.34,0.66,0.04,0.75
74,242,24.8,28.7,6.7,6.4,13.0,3.8,1.8,5.5,0,4,0.646,0.94,0.42,1.13,0.47,0.96,0.77
82,196,19.2,25.1,6.4,1.9,8.3,3.0,-0.9,3.6,0,16,0.488,0.91,0.72,0.57,0.7,0.17,0.76
81,268,23.6,27.4,6.1,5.6,11.6,4.6,1.7,6.8,0,6,0.61,0.93,0.67,1.07,0.78,0.67,0.8
74,240,24.5,30.5,8.1,2.6,10.7,5.4,0.1,5.2,0,14,0.512,1.04,0.7,0.6,0.73,0.25,0.79
70,230,20.0,34.4,3.3,3.6,6.9,3.4,-0.2,3.8,1,9,0.598,1.15,0.63,0.35,1.08,0.03,0.7
72,160,19.9,23.4,5.7,4.4,10.1,2.9,2.0,4.9,0,8,0.598,0.81,0.57,0.43,1.4,0.29,0.76
67,226,18.4,20.0,3.7,4.8,8.5,2.3,2.0,4.2,0,3,0.646,0.58,1.36,0.65,1.05,0.18,0.69
82,231,27.1,31.9,10.7,4.5,15.3,6.4,1.1,7.1,0,2,0.671,1.03,0.5,0.86,0.51,0.37,0.8
79,160,20.0,24.3,3.7,2.9,6.6,2.6,0.9,3.4,0,11,0.549,0.62,0.45,0.58,0.6,0.82,0.72
79,223,30.6,31.2,11.7,7.0,18.6,7.3,2.0,9.0,0,-1,0.817,1.2,0.51,1.24,0.24,1.3,0.9
82,224,23.6,26.8,10.5,3.5,13.9,5.8,0.7,7.3,0,10,0.549,0.98,1.2,0.59,0.98,0.09,0.79
82,311,18.9,29.2,5.7,1.6,7.3,2.8,-1.7,2.4,0,14,0.512,0.95,0.6,0.35,0.66,0.19,0.72
75,218,23.4,28.2,5.7,5.0,10.7,3.6,2.1,5.6,0,12,0.537,0.99,0.62,0.95,0.84,0.74,0.77
82,204,22.9,24.4,11.5,2.2,13.7,5.7,-0.3,5.9,0,5,0.634,0.93,0.6,0.5,0.79,0.11,0.95
75,200,18.6,21.0,5.8,2.9,8.7,3.2,0.1,3.6,0,15,0.524,0.67,0.93,0.44,0.94,0.08,0.83
78,155,20.0,22.2,5.8,2.7,8.5,2.6,0.5,3.6,0,10,0.573,0.68,0.99,0.36,1.08,0.12,0.8
68,220,24.5,31.8,9.2,2.2,11.3,5.1,-0.3,4.7,0,0,0.683,1.2,0.66,0.56,0.88,0.29,0.83
75,167,25.0,30.7,10.3,2.6,12.9,7.6,0.1,7.2,0,11,0.573,1.17,0.51,0.53,0.8,0.5,0.87
82,242,23.8,28.7,6.2,7.1,13.2,2.9,1.8,5.4,1,-1,0.707,0.94,0.4,1.16,0.45,1.08,0.86
82,190,18.2,24.9,5.6,2.9,8.5,2.4,-0.5,3.4,0,3,0.646,0.91,0.58,0.49,0.75,0.18,0.83
80,265,21.6,24.2,9.2,3.0,12.2,4.5,0.5,5.7,0,13,0.549,0.84,0.86,0.66,0.92,0.18,0.87
81,230,23.9,27.0,7.0,4.8,11.8,4.5,1.4,6.4,0,10,0.573,0.93,0.66,1.09,0.72,0.83,0.83
71,237,24.0,35.9,7.3,4.5,11.8,5.0,1.1,6.1,0,1,0.683,1.31,0.61,0.37,1.31,0.13,0.77
63,135,18.8,23.9,3.9,4.0,7.9,2.5,2.1,3.8,0,8,0.61,0.73,0.36,0.44,0.92,0.43,0.85
77,286,19.4,22.7,4.2,5.4,9.6,2.4,1.7,4.8,0,6,0.622,0.71,1.3,0.61,1.13,0.14,0.76
81,244,24.7,30.0,9.1,4.0,13.1,5.5,1.1,6.3,0,4,0.646,0.98,0.59,0.79,0.6,0.36,0.85
77,198,24.9,31.2,8.3,3.9,12.2,6.5,0.5,7.0,0,15,0.524,1.13,0.61,0.72,0.79,0.71,0.81
70,205,19.6,21.1,6.8,1.6,8.4,3.8,-1.1,2.9,0,3,0.646,0.66,0.96,0.3,0.54,0.03,0.93
74,218,30.2,31.6,11.1,3.9,14.9,7.0,0.7,7.1,0,0,0.683,1.21,0.5,1.21,0.34,1.28,0.98
79,209,22.1,27.2,9.1,1.7,10.8,4.7,-0.7,4.9,0,14,0.537,0.97,1.08,0.44,0.84,0.15,0.84
76,219,20.1,29.2,4.2,2.5,6.7,2.3,-1.0,2.4,0,5,0.634,0.93,0.44,0.66,0.59,0.38,0.83
72,211,17.8,25.5,4.8,2.5,7.3,2.1,-0.4,2.7,0,16,0.5,0.87,0.8,0.48,0.47,0.28,0.82
77,158,20.9,23.4,6.8,4.2,11.0,3.3,1.1,4.8,0,7,0.61,0.81,0.36,0.75,0.61,0.81,0.9
70,195,24.7,31.6,5.8,5.2,11.0,4.0,1.4,5.3,0,2,0.671,1.14,0.56,1.06,0.7,0.78,0.82
69,159,21.6,26.2,7.6,1.3,8.9,6.0,-1.1,4.4,0,15,0.5,0.91,0.58,0.44,0.68,0.12,0.98
82,138,17.6,20.4,6.1,1.5,7.6,3.1,-0.6,2.7,0,4,0.61,0.53,0.81,0.27,0.42,0.1,0.87
80,173,23.6,21.1,9.9,3.7,13.6,3.9,0.4,4.8,0,16,0.476,0.76,0.35,1.13,0.53,0.95,0.92
80,223,23.2,30.4,8.9,3.8,12.7,4.3,0.3,5.2,0,0,0.707,1.06,0.81,0.54,0.79,0.2,0.84
60,154,20.5,30.5,4.6,2.4,7.0,4.7,-0.3,3.9,0,14,0.512,1.04,0.59,0.51,0.83,0.33,0.83
74,177,21.3,27.3,7.2,1.4,8.6,3.5,-1.1,2.9,0,15,0.5,0.83,0.98,0.41,0.65,0.07,0.86
82,246,18.2,23.9,4.4,3.8,8.2,3.3,0.4,4.8,0,10,0.537,0.76,1.25,0.42,1.11,0.26,0.84
82,263,27.0,29.0,10.7,7.1,17.8,5.4,2.2,8.0,1,1,0.707,1.07,0.55,1.25,0.39,1.15,0.89
81,229,23.8,26.0,7.9,4.9,12.8,5.1,1.8,7.1,0,4,0.61,0.89,0.77,1.19,0.63,0.72,0.85
60,237,21.9,37.8,2.6,4.3,6.9,3.9,0.8,4.5,0,12,0.524,1.32,0.81,0.44,1.49,0.1,0.74
82,286,19.1,22.5,3.1,5.8,8.9,3.0,1.5,5.0,0,3,0.634,0.62,1.45,0.71,1.13,0.11,0.77
80,263,21.1,28.8,5.5,4.3,9.8,2.9,0.8,4.4,0,9,0.537,0.94,0.63,0.84,1.01,0.34,0.8
76,189,25.1,31.1,8.1,3.4,11.5,6.4,0.4,6.4,0,11,0.537,1.08,0.78,0.77,0.83,0.45,0.85
82,229,20.7,23.0,9.5,0.3,9.9,5.1,-2.1,3.6,0,2,0.695,0.75,1.14,0.3,0.35,0.02,0.97
76,145,24.1,25.5,10.2,3.1,13.4,5.4,0.1,5.5,0,2,0.695,0.98,0.36,0.97,0.58,0.47,0.93
67,171,29.7,31.8,9.2,4.0,13.2,7.1,0.9,6.1,0,0,0.707,1.14,0.44,1.05,0.32,0.95,1.01
82,209,22.9,27.2,10.1,2.5,12.6,5.2,-0.2,5.9,0,8,0.549,0.93,1.32,0.47,0.85,0.15,0.86
82,241,22.3,29.3,7.3,5.6,12.9,4.7,1.3,6.6,0,7,0.598,1.1,0.47,0.68,1.0,0.49,0.89
76,266,19.0,32.3,3.2,2.6,5.8,2.6,-1.2,2.4,0,5,0.61,0.9,0.78,0.41,0.54,0.23,0.75
82,208,21.9,19.8,8.0,2.6,10.7,4.1,1.3,4.8,0,9,0.537,0.56,1.21,0.31,0.98,0.13,0.93
71,140,19.3,23.2,6.8,3.0,9.9,3.2,-0.2,3.3,0,-1,0.744,0.89,0.36,0.51,0.61,0.09,0.95
54,158,24.4,29.0,4.8,3.9,8.6,3.8,1.6,3.9,0,-1,0.744,1.03,0.7,0.99,0.89,0.66,0.87
74,134,20.4,24.1,7.0,2.9,9.9,4.3,0.3,3.8,0,5,0.61,0.72,0.58,0.35,0.46,0.09,0.85
82,288,26.2,32.9,11.0,4.0,14.9,6.3,0.7,7.7,0,4,0.61,1.33,0.87,0.65,1.2,0.36,0.81
78,177,22.3,26.5,8.8,0.8,9.6,3.9,-1.2,3.2,0,14,0.512,0.88,0.86,0.42,0.61,0.08,0.83
81,248,26.9,28.0,9.5,6.9,16.5,5.0,2.5,7.7,0,0,0.732,1.03,0.58,1.22,0.37,1.3,0.86
69,114,17.6,24.2,4.3,2.5,6.7,2.4,-0.8,2.4,0,-1,0.732,0.86,0.44,0.55,0.6,0.13,0.8
81,299,20.6,26.1,7.4,3.7,11.1,3.4,0.3,4.8,0,13,0.524,0.93,0.92,0.59,0.95,0.23,0.78
82,229,26.4,26.4,9.8,5.8,15.6,6.0,2.4,8.7,1,2,0.622,1.02,0.9,1.28,0.75,0.7,0.85
82,286,21.2,32.9,5.0,4.2,9.2,3.2,0.2,4.8,0,8,0.585,1.23,0.82,0.4,1.49,0.07,0.73
80,296,22.2,25.9,5.5,5.8,11.3,4.8,1.8,6.5,0,6,0.598,0.83,1.32,0.6,1.22,0.14,0.78
65,55,18.3,19.1,4.2,3.4,7.7,2.5,2.1,3.3,0,6,0.598,0.58,0.39,0.37,0.84,0.2,0.87
81,210,21.7,27.8,6.9,4.3,11.1,3.2,1.0,4.6,0,9,0.573,0.92,0.7,0.74,0.91,0.17,0.78
81,263,20.1,27.7,7.1,2.5,9.6,3.7,-0.7,4.0,0,11,0.537,0.99,1.2,0.31,0.72,0.11,0.78
81,157,21.3,23.3,7.3,5.8,13.0,3.9,1.7,6.5,0,11,0.537,0.94,0.36,0.91,1.24,0.52,0.84
82,230,18.0,27.1,5.4,3.6,9.0,2.6,-0.4,3.5,0,10,0.573,0.96,0.84,0.58,0.55,0.09,0.77
75,195,30.3,35.2,13.2,2.9,16.1,9.8,0.7,9.3,0,15,0.512,1.43,0.81,0.62,0.9,0.35,0.85
73,118,19.3,18.7,6.1,3.4,9.6,2.2,0.8,2.9,0,7,0.585,0.58,0.39,0.78,0.48,0.26,0.83
82,192,22.6,24.4,9.7,1.9,11.6,5.4,-0.8,4.5,0,-1,0.732,0.79,1.08,0.27,0.57,0.03,0.86
80,152,25.6,27.4,10.8,5.3,16.1,5.8,1.4,7.3,0,-1,0.732,1.12,0.44,0.94,0.76,0.45,0.86
67,196,29.5,30.2,10.2,3.0,13.2,6.4,0.1,5.5,0,4,0.61,1.22,0.46,1.05,0.31,1.05,0.96
52,131,21.4,27.1,4.3,1.9,6.2,4.0,0.1,3.2,0,16,0.488,0.93,1.31,0.45,0.97,0.1,0.78
79,288,22.7,33.2,5.3,4.8,10.1,4.2,0.7,5.4,0,12,0.537,1.15,0.66,0.7,0.96,0.35,0.76
74,140,18.5,23.3,5.1,3.4,8.5,2.3,0.2,3.1,0,3,0.61,0.81,0.31,0.7,0.52,0.46,0.87
56,156,21.7,27.8,6.5,0.4,6.9,5.5,-1.5,3.2,0,16,0.451,0.94,0.67,0.5,0.68,0.09,0.8
82,175,19.3,22.9,8.0,1.3,9.3,3.4,-1.0,3.3,0,3,0.671,0.75,0.76,0.33,0.74,0.1,0.8
78,189,18.6,23.5,7.1,4.2,11.3,3.1,0.5,3.9,0,4,0.659,0.69,0.8,0.34,0.58,0.05,0.72
65,171,23.7,29.1,7.8,3.0,10.7,5.1,0.5,4.7,0,2,0.683,0.98,0.71,0.54,0.93,0.2,0.73
81,220,22.8,27.2,8.8,3.3,12.1,4.1,0.3,4.6,0,0,0.707,0.81,1.02,0.33,0.68,0.1,0.81
67,215,20.7,30.1,4.3,3.2,7.5,4.7,0.5,4.8,0,14,0.5,0.94,1.05,0.42,1.27,0.19,0.72
69,183,27.1,29.7,5.9,7.2,13.1,5.2,3.3,6.7,0,1,0.695,0.91,0.43,1.21,0.48,1.25,0.78
72,83,17.8,20.9,7.0,0.5,7.6,3.0,-1.2,2.7,0,5,0.634,0.76,0.41,0.44,0.63,0.25,0.79
82,212,29.4,29.6,10.4,8.0,18.3,6.8,3.3,10.0,0,0,0.707,0.99,0.7,1.35,0.79,1.02,0.78
78,187,21.7,26.8,5.3,2.8,8.1,2.9,0.1,3.0,0,6,0.61,0.73,0.36,0.75,0.3,0.79,0.75
67,214,19.7,24.6,2.8,4.4,7.2,3.4,1.3,4.2,0,7,0.573,0.63,1.29,0.62,0.98,0.1,0.68
78,215,22.6,21.9,6.5,5.0,11.6,5.0,2.9,7.2,0,10,0.512,0.67,0.44,0.78,1.03,1.29,0.75
82,215,18.8,20.7,6.1,2.6,8.8,2.2,0.4,3.3,0,9,0.524,0.61,0.85,0.43,0.93,0.14,0.72
78,209,20.5,19.5,8.9,-0.1,8.8,4.7,-2.2,3.0,1,5,0.634,0.59,1.23,0.29,0.46,0.05,0.83
77,135,22.5,24.5,9.0,2.5,11.5,3.8,0.0,4.3,0,5,0.634,0.89,0.38,0.85,0.64,0.63,0.78
67,195,24.4,26.3,5.9,4.0,9.9,3.8,1.0,4.1,0,2,0.683,0.88,0.41,1.12,0.27,1.16,0.91
82,116,19.9,26.3,8.4,1.3,9.7,3.8,-1.3,3.5,0,13,0.5,0.89,0.32,0.48,0.53,0.03,0.75
78,171,20.9,28.0,9.7,1.0,10.7,5.3,-1.2,4.8,0,4,0.634,0.93,0.51,0.43,0.58,0.03,0.74
80,242,21.3,27.3,9.2,2.3,11.5,4.7,-0.4,5.2,0,10,0.549,0.99,0.7,0.46,0.93,0.13,0.74
80,203,19.2,23.8,6.6,1.9,8.5,3.1,-0.5,3.6,0,6,0.61,0.77,0.93,0.4,0.83,0.17,0.73
80,180,19.0,20.7,8.6,3.5,12.1,3.6,0.6,4.5,0,3,0.659,0.64,0.8,0.33,0.54,0.05,0.79
57,146,24.5,32.9,5.4,3.1,8.5,6.2,0.8,5.1,0,16,0.512,1.07,0.64,0.57,0.78,0.26,0.75
66,127,27.0,28.9,5.5,5.7,11.2,4.8,2.8,5.4,0,0,0.72,0.79,0.37,1.08,0.36,1.2,0.74
82,222,28.2,27.1,10.1,6.0,16.1,6.5,3.0,9.1,0,12,0.537,0.86,0.78,1.32,0.79,0.62,0.75
56,137,22.5,26.2,4.1,2.8,6.8,2.9,1.1,2.7,0,9,0.549,0.69,0.33,0.71,0.35,0.76,0.76
74,172,22.3,24.3,6.4,4.6,11.0,4.1,2.8,4.9,0,0,0.72,0.62,0.53,0.43,0.86,0.16,0.79
61,153,21.6,26.6,4.6,3.1,7.7,2.4,1.9,3.7,0,10,0.549,0.86,0.64,0.61,1.54,0.14,0.68
75,344,23.2,35.0,5.3,3.7,9.0,4.2,0.0,5.0,0,14,0.524,1.2,1.09,0.39,1.28,0.05,0.67
80,262,25.7,29.7,9.7,4.6,14.3,7.0,1.7,9.1,0,15,0.512,1.06,0.99,0.72,1.18,0.3,0.75
66,167,19.5,21.3,3.1,4.2,7.2,3.3,1.4,4.1,0,16,0.512,0.56,1.13,0.72,0.99,0.06,0.7
78,201,22.9,31.2,6.5,5.4,12.0,5.2,1.5,6.9,0,5,0.622,1.0,0.79,0.61,0.92,0.31,0.7
56,82,20.7,17.4,6.3,2.3,8.6,2.7,1.4,3.1,0,6,0.61,0.61,0.54,0.91,0.66,0.55,0.78
75,245,22.0,20.5,9.7,1.2,10.9,5.5,-0.8,4.4,1,-1,0.756,0.61,1.57,0.32,0.53,0.04,0.83
78,176,26.1,28.7,10.3,5.2,15.6,5.8,1.5,7.1,0,2,0.707,1.02,0.42,0.95,0.66,0.7,0.73
73,203,27.0,30.5,6.4,4.6,11.0,4.1,1.2,4.6,0,1,0.72,0.89,0.38,1.02,0.26,1.07,0.89
82,230,21.8,26.6,7.7,3.6,11.2,4.0,0.7,4.9,0,11,0.549,0.84,0.58,0.64,0.86,0.22,0.74
77,321,23.1,30.9,6.7,4.3,11.0,3.9,0.7,4.9,0,1,0.72,0.94,0.93,0.5,0.84,0.48,0.72
80,218,22.0,32.0,6.8,2.6,9.4,3.5,-0.9,3.5,0,10,0.537,1.05,0.37,0.46,0.6,0.25,0.74
80,297,23.8,30.5,11.0,2.6,13.6,5.4,0.0,6.3,0,11,0.512,1.16,0.82,0.33,1.1,0.15,0.76
82,199,17.9,25.4,6.0,2.4,8.4,2.7,-1.2,2.8,0,9,0.537,0.83,0.73,0.28,0.55,0.06,0.75
81,170,23.4,22.9,12.7,2.8,15.5,6.2,0.1,6.1,0,-1,0.78,0.73,1.17,0.29,0.48,0.05,0.76
79,173,26.5,27.7,9.3,5.5,14.8,5.1,1.6,6.8,0,7,0.573,0.98,0.36,0.94,0.56,1.21,0.79
80,250,28.0,38.7,11.6,3.7,15.3,7.4,0.2,8.0,0,8,0.549,1.4,0.61,0.5,1.01,0.18,0.73
79,213,21.6,32.3,4.9,4.4,9.3,4.5,0.5,5.2,0,6,0.598,0.96,0.58,0.55,0.65,0.32,0.7
78,175,18.5,25.0,4.8,2.8,7.6,2.1,-0.5,2.4,0,7,0.573,0.68,0.85,0.35,0.52,0.07,0.71
80,198,23.1,27.7,3.9,6.9,10.8,2.3,2.6,4.9,0,0,0.768,0.73,0.43,1.03,0.48,0.96,0.72
80,235,22.7,26.4,6.6,5.4,12.0,3.9,1.7,6.0,0,5,0.598,0.8,0.63,0.84,0.31,0.91,0.75
65,121,22.4,25.0,5.1,3.7,8.8,3.8,3.0,4.1,0,0,0.768,0.6,0.49,0.33,0.85,0.19,0.78
79,260,28.1,33.6,12.0,4.3,16.3,7.5,1.6,9.4,0,4,0.61,1.24,0.89,0.66,0.85,0.4,0.77
78,174,18.9,22.1,7.6,4.1,11.7,2.6,0.5,3.9,0,6,0.598,0.77,0.52,0.64,0.42,0.1,0.78
80,192,19.2,19.1,4.5,5.6,10.1,2.8,2.6,5.5,0,6,0.598,0.53,1.14,0.68,1.03,0.17,0.72
69,203,20.7,20.5,3.6,4.3,7.9,3.4,3.1,5.6,0,12,0.5,0.6,0.59,0.75,0.81,1.52,0.72
79,276,23.3,23.3,10.3,2.1,12.4,5.7,-0.7,4.9,0,2,0.659,0.75,1.42,0.4,0.42,0.07,0.87
81,156,28.1,30.0,13.5,4.3,17.7,7.8,0.4,7.9,1,1,0.732,1.05,0.38,0.84,0.39,0.49,0.77
82,163,19.0,23.5,6.3,3.0,9.3,2.4,-0.8,2.7,0,12,0.5,0.71,0.32,0.85,0.27,0.42,0.74
80,249,20.8,27.1,5.5,4.1,9.6,2.4,0.4,3.3,0,0,0.768,0.75,0.78,0.31,0.57,0.02,0.83
78,183,22.1,22.2,6.8,3.6,10.4,3.0,2.2,5.1,0,16,0.463,0.64,1.06,0.48,1.23,0.04,0.68
80,170,21.2,28.3,8.8,2.0,10.8,4.7,-0.9,4.6,0,15,0.488,1.0,0.39,0.4,0.65,0.03,0.75
75,268,27.6,32.5,10.2,4.2,14.4,5.9,1.8,7.1,0,3,0.634,1.08,0.91,0.54,1.07,0.37,0.75
65,234,22.1,33.4,5.2,2.1,7.3,3.2,-1.3,2.5,0,8,0.549,1.23,0.5,0.56,0.63,0.17,0.73
74,236,24.0,31.4,9.3,1.5,10.8,5.5,-0.8,5.0,0,12,0.5,1.21,0.78,0.42,1.0,0.09,0.72
80,146,18.4,23.4,6.1,2.1,8.2,2.6,0.1,3.1,0,0,0.744,0.77,0.51,0.25,0.64,0.09,0.84
